# BOSCH-DARAB extract file created 08.08.2020 14:22:16
#
# Data from source file "C:\Users\nic\Michigan State University\RSO-MSU Formula Racing Team - General\SR22 - Car XX\Systems\Simulation\results\2019_MIS_endurance_constant_aero_coeffs.bmsbin"
# where 0.000 <= xtime <= 120.129
# 
xtime    [   s]	enginespeed[revo]
         28.910	      10744.646
         28.920	      10690.221
         28.930	      10656.013
         28.940	      10657.347
         28.950	      10619.486
         28.960	      10571.187
         28.970	      10522.357
         28.980	      10473.159
         28.990	      10423.817
         29.000	      10374.435
         29.010	      10325.323
         29.020	      10276.471
         29.030	      10228.675
         29.040	      10181.697
         29.050	      10135.858
         29.060	      10091.405
         29.070	      10047.559
         29.080	      10004.794
         29.090	       9970.460
         29.100	       9943.274
         29.110	      10137.669
         29.120	      10300.234
         29.130	      10294.910
         29.140	      10267.374
         29.150	      10226.177
         29.160	      10212.810
         29.170	      10215.329
         29.180	      10248.630
         29.190	      10239.693
         29.200	      10209.786
         29.210	      10200.984
         29.220	      10216.403
         29.230	      10273.065
         29.240	      10293.811
         29.250	      10298.710
         29.260	      10288.532
         29.270	      10302.713
         29.280	      10350.476
         29.290	      10353.447
         29.300	      10343.261
         29.310	      10330.299
         29.320	      10353.204
         29.330	      10410.496
         29.340	      10443.759
         29.350	      10462.333
         29.360	      10447.867
         29.370	      10473.594
         29.380	      10524.569
         29.390	      10605.609
         29.400	      10658.960
         29.410	      10671.755
         29.420	      10696.197
         29.430	      10735.956
         29.440	      10818.354
         29.450	      10901.206
         29.460	      10983.134
         29.470	      11049.739
         29.480	      11111.631
         29.490	      11169.030
         29.500	      11221.115
         29.510	      11271.411
         29.520	      11319.596
         29.530	      11366.218
         29.540	      11412.241
         29.550	      11457.602
         29.560	      11503.068
         29.570	      11548.686
         29.580	      11594.469
         29.590	      11640.788
         29.600	      11687.440
         29.610	      11734.466
         29.620	      11782.281
         29.630	      11830.550
         29.640	      11879.232
         29.650	      11928.314
         29.660	      11977.953
         29.670	      12027.788
         29.680	      12077.747
         29.690	      12127.829
         29.700	      12178.014
         29.710	      12228.264
         29.720	      12278.586
         29.730	      12328.971
         29.740	      12379.357
         29.750	      12429.755
         29.760	      12480.118
         29.770	      12530.423
         29.780	      12580.658
         29.790	      12630.824
         29.800	      12680.882
         29.810	      12730.831
         29.820	      12780.670
         29.830	      12830.406
         29.840	      12879.995
         29.850	      12929.417
         29.860	      12978.705
         29.870	      13027.854
         29.880	      13076.873
         29.890	      13125.682
         29.900	      13174.354
         29.910	      13219.980
         29.920	      13256.170
         29.930	      13269.153
         29.940	      13261.761
         29.950	      13239.373
         29.960	      11900.335
         29.970	       9534.721
         29.980	       9547.370
         29.990	       9580.544
         30.000	       9638.333
         30.010	       9717.644
         30.020	       9807.263
         30.030	       9877.925
         30.040	       9935.673
         30.050	       9988.742
         30.060	      10039.041
         30.070	      10087.814
         30.080	      10135.825
         30.090	      10184.008
         30.100	      10233.667
         30.110	      10283.406
         30.120	      10318.261
         30.130	      10321.801
         30.140	      10296.776
         30.150	      10313.281
         30.160	      10357.859
         30.170	      10384.497
         30.180	      10382.271
         30.190	      10374.568
         30.200	      10409.505
         30.210	      10432.970
         30.220	      10416.207
         30.230	      10403.740
         30.240	      10415.400
         30.250	      10435.750
         30.260	      10420.560
         30.270	      10374.793
         30.280	      10316.605
         30.290	      10268.642
         30.300	      10251.321
         30.310	      10246.284
         30.320	      10222.917
         30.330	      10184.310
         30.340	      10185.594
         30.350	      10204.407
         30.360	      10194.363
         30.370	      10167.186
         30.380	      10153.935
         30.390	      10177.572
         30.400	      10219.272
         30.410	      10217.149
         30.420	      10185.911
         30.430	      10172.574
         30.440	      10197.209
         30.450	      10254.217
         30.460	      10326.677
         30.470	      10376.136
         30.480	      10378.570
         30.490	      10373.350
         30.500	      10390.435
         30.510	      10427.819
         30.520	      10438.596
         30.530	      10406.354
         30.540	      10399.660
         30.550	      10429.589
         30.560	      10472.248
         30.570	      10494.740
         30.580	      10477.844
         30.590	      10447.453
         30.600	      10462.629
         30.610	      10513.629
         30.620	      10575.037
         30.630	      10611.831
         30.640	      10614.027
         30.650	      10610.942
         30.660	      10647.469
         30.670	      10683.476
         30.680	      10677.073
         30.690	      10658.072
         30.700	      10664.818
         30.710	      10710.759
         30.720	      10775.842
         30.730	      10818.377
         30.740	      10814.126
         30.750	      10787.220
         30.760	      10796.275
         30.770	      10843.229
         30.780	      10904.774
         30.790	      10948.727
         30.800	      10954.066
         30.810	      10932.151
         30.820	      10944.045
         30.830	      10994.336
         30.840	      11050.717
         30.850	      11075.765
         30.860	      11063.471
         30.870	      11050.170
         30.880	      11069.593
         30.890	      11120.282
         30.900	      11176.630
         30.910	      11213.376
         30.920	      11208.337
         30.930	      11180.601
         30.940	      11188.704
         30.950	      11232.185
         30.960	      11286.914
         30.970	      11337.192
         30.980	      11364.430
         30.990	      11353.170
         31.000	      11312.298
         31.010	      11276.504
         31.020	      11286.039
         31.030	      11334.685
         31.040	      11393.763
         31.050	      11448.833
         31.060	      11501.138
         31.070	      11551.583
         31.080	      11584.099
         31.090	      11606.505
         31.100	      11612.973
         31.110	      11587.704
         31.120	      11527.465
         31.130	      11460.006
         31.140	      11429.800
         31.150	      11444.988
         31.160	      11491.217
         31.170	      11555.628
         31.180	      11616.071
         31.190	      11671.402
         31.200	      11723.813
         31.210	      11762.627
         31.220	      11766.540
         31.230	      11733.219
         31.240	      11708.925
         31.250	      11720.708
         31.260	      11765.528
         31.270	      11820.306
         31.280	      11869.575
         31.290	      11894.510
         31.300	      11883.801
         31.310	      11865.796
         31.320	      11878.520
         31.330	      11921.762
         31.340	      11962.691
         31.350	      11968.761
         31.360	      11950.593
         31.370	      11949.749
         31.380	      11983.743
         31.390	      12023.010
         31.400	      12024.331
         31.410	      11996.850
         31.420	      11985.795
         31.430	      12014.717
         31.440	      12065.916
         31.450	      12086.113
         31.460	      12071.998
         31.470	      12049.081
         31.480	      12068.355
         31.490	      12111.869
         31.500	      12131.219
         31.510	      12111.344
         31.520	      12058.357
         31.530	      11974.288
         31.540	      11890.119
         31.550	      11833.251
         31.560	      11814.760
         31.570	      11830.259
         31.580	      11866.125
         31.590	      11888.089
         31.600	      11876.169
         31.610	      11851.324
         31.620	      11851.451
         31.630	      11846.003
         31.640	      11816.249
         31.650	      11782.879
         31.660	      11777.252
         31.670	      11785.557
         31.680	      11772.091
         31.690	      11737.638
         31.700	      11719.423
         31.710	      11733.212
         31.720	      11747.363
         31.730	      11733.340
         31.740	      11701.500
         31.750	      11685.623
         31.760	      11702.027
         31.770	      11734.887
         31.780	      11755.953
         31.790	      11742.085
         31.800	      11717.380
         31.810	      11720.493
         31.820	      11752.306
         31.830	      11803.709
         31.840	      11851.844
         31.850	      11859.450
         31.860	      11844.361
         31.870	      11858.448
         31.880	      11903.277
         31.890	      11935.780
         31.900	      11924.692
         31.910	      11879.801
         31.920	      11806.823
         31.930	       9928.193
         31.940	       9655.232
         31.950	       9676.518
         31.960	       9722.796
         31.970	       9786.726
         31.980	       9871.164
         31.990	       9951.676
         32.000	       9998.806
         32.010	       9999.694
         32.020	       9986.779
         32.030	      10003.550
         32.040	      10022.411
         32.050	      10004.830
         32.060	       9968.124
         32.070	       9958.703
         32.080	       9994.355
         32.090	      10057.043
         32.100	      10106.408
         32.110	      10111.750
         32.120	      10093.536
         32.130	      10098.811
         32.140	      10132.003
         32.150	      10146.540
         32.160	      10122.243
         32.170	      10097.810
         32.180	      10116.860
         32.190	      10168.505
         32.200	      10212.356
         32.210	      10211.684
         32.220	      10189.679
         32.230	      10198.280
         32.240	      10240.420
         32.250	      10274.260
         32.260	      10264.812
         32.270	      10242.437
         32.280	      10258.726
         32.290	      10302.256
         32.300	      10324.533
         32.310	      10307.029
         32.320	      10287.407
         32.330	      10310.076
         32.340	      10356.956
         32.350	      10380.170
         32.360	      10358.588
         32.370	      10319.552
         32.380	      10313.578
         32.390	      10348.812
         32.400	      10404.131
         32.410	      10457.076
         32.420	      10501.182
         32.430	      10527.311
         32.440	      10542.865
         32.450	      10559.065
         32.460	      10573.658
         32.470	      10588.771
         32.480	      10605.356
         32.490	      10623.380
         32.500	      10642.601
         32.510	      10658.759
         32.520	      10677.033
         32.530	      10697.968
         32.540	      10715.968
         32.550	      10737.056
         32.560	      10754.711
         32.570	      10772.362
         32.580	      10788.259
         32.590	      10801.730
         32.600	      10813.159
         32.610	      10822.581
         32.620	      10830.076
         32.630	      10836.334
         32.640	      10841.839
         32.650	      10847.087
         32.660	      10852.567
         32.670	      10858.650
         32.680	      10865.627
         32.690	      10873.623
         32.700	      10882.671
         32.710	      10892.712
         32.720	      10903.587
         32.730	      10915.038
         32.740	      10926.930
         32.750	      10939.265
         32.760	      10952.129
         32.770	      10965.506
         32.780	      10979.264
         32.790	      10993.341
         32.800	      11007.698
         32.810	      11022.180
         32.820	      11036.747
         32.830	      11051.486
         32.840	      11066.472
         32.850	      11081.659
         32.860	      11097.003
         32.870	      11112.630
         32.880	      11128.451
         32.890	      11144.185
         32.900	      11159.987
         32.910	      11176.073
         32.920	      11192.279
         32.930	      11208.515
         32.940	      11224.819
         32.950	      11241.213
         32.960	      11257.710
         32.970	      11274.201
         32.980	      11290.675
         32.990	      11307.250
         33.000	      11324.022
         33.010	      11340.912
         33.020	      11357.899
         33.030	      11374.928
         33.040	      11391.881
         33.050	      11408.770
         33.060	      11425.741
         33.070	      11442.811
         33.080	      11459.943
         33.090	      11477.132
         33.100	      11494.376
         33.110	      11506.871
         33.120	      11501.421
         33.130	      11483.535
         33.140	      11459.304
         33.150	      11429.879
         33.160	      10400.685
         33.170	       9859.566
         33.180	       9869.003
         33.190	       9891.353
         33.200	       9927.377
         33.210	       9970.130
         33.220	       9999.828
         33.230	      10019.479
         33.240	      10036.440
         33.250	      10052.794
         33.260	      10069.096
         33.270	      10085.302
         33.280	      10101.452
         33.290	      10117.571
         33.300	      10133.668
         33.310	      10149.747
         33.320	      10165.796
         33.330	      10181.800
         33.340	      10197.707
         33.350	      10213.539
         33.360	      10229.391
         33.370	      10245.268
         33.380	      10261.148
         33.390	      10276.948
         33.400	      10292.637
         33.410	      10308.252
         33.420	      10323.809
         33.430	      10339.354
         33.440	      10354.942
         33.450	      10370.381
         33.460	      10385.735
         33.470	      10401.077
         33.480	      10416.398
         33.490	      10431.697
         33.500	      10446.922
         33.510	      10462.039
         33.520	      10477.056
         33.530	      10491.984
         33.540	      10506.791
         33.550	      10521.485
         33.560	      10536.100
         33.570	      10550.697
         33.580	      10565.240
         33.590	      10579.715
         33.600	      10594.119
         33.610	      10608.449
         33.620	      10622.680
         33.630	      10636.821
         33.640	      10650.871
         33.650	      10664.837
         33.660	      10678.712
         33.670	      10692.486
         33.680	      10706.115
         33.690	      10719.579
         33.700	      10732.839
         33.710	      10746.050
         33.720	      10759.151
         33.730	      10772.008
         33.740	      10784.743
         33.750	      10797.342
         33.760	      10809.940
         33.770	      10822.361
         33.780	      10834.589
         33.790	      10846.694
         33.800	      10858.670
         33.810	      10870.531
         33.820	      10882.271
         33.830	      10893.866
         33.840	      10905.242
         33.850	      10916.393
         33.860	      10927.328
         33.870	      10938.079
         33.880	      10948.727
         33.890	      10959.246
         33.900	      10969.630
         33.910	      10979.854
         33.920	      10989.907
         33.930	      10999.791
         33.940	      11009.502
         33.950	      11018.974
         33.960	      11028.189
         33.970	      11037.204
         33.980	      11046.066
         33.990	      11054.840
         34.000	      11063.487
         34.010	      11072.013
         34.020	      11080.391
         34.030	      11088.599
         34.040	      11096.671
         34.050	      11104.649
         34.060	      11112.590
         34.070	      11120.430
         34.080	      11128.030
         34.090	      11135.397
         34.100	      11142.559
         34.110	      11149.551
         34.120	      11156.423
         34.130	      11163.257
         34.140	      11170.059
         34.150	      11176.766
         34.160	      11183.319
         34.170	      11189.700
         34.180	      11195.913
         34.190	      11202.013
         34.200	      11208.041
         34.210	      11214.009
         34.220	      11220.007
         34.230	      11222.580
         34.240	      11181.884
         34.250	      10898.631
         34.260	      10854.812
         34.270	      10811.021
         34.280	      10767.255
         34.290	      10723.487
         34.300	      10679.685
         34.310	      10635.836
         34.320	      10591.888
         34.330	      10547.791
         34.340	      10503.521
         34.350	      10459.043
         34.360	      10414.264
         34.370	      10369.059
         34.380	      10323.387
         34.390	      10277.046
         34.400	      10283.760
         34.410	      10253.513
         34.420	      10218.041
         34.430	      10182.372
         34.440	      10146.522
         34.450	      10110.455
         34.460	      10074.163
         34.470	      10037.638
         34.480	      10000.868
         34.490	       9963.865
         34.500	       9926.611
         34.510	       9889.125
         34.520	       9851.397
         34.530	       9813.475
         34.540	      10346.458
         34.550	      11189.789
         34.560	      11191.069
         34.570	      11147.033
         34.580	      11103.274
         34.590	      11059.974
         34.600	      11017.456
         34.610	      10975.876
         34.620	      10935.365
         34.630	      10895.911
         34.640	      10857.438
         34.650	      10819.780
         34.660	      10782.815
         34.670	      10746.398
         34.680	      10710.415
         34.690	      10674.873
         34.700	      10639.647
         34.710	      10604.745
         34.720	      10570.125
         34.730	      10535.782
         34.740	      10508.800
         34.750	      10520.552
         34.760	      10571.714
         34.770	      10625.016
         34.780	      10686.031
         34.790	      10700.753
         34.800	      10689.042
         34.810	      10648.782
         34.820	      10600.219
         34.830	      10587.000
         34.840	      10606.744
         34.850	      10642.138
         34.860	      10663.079
         34.870	      10644.057
         34.880	      10617.306
         34.890	      10623.976
         34.900	      10642.973
         34.910	      10553.331
         34.920	      10498.648
         34.930	      10553.331
         34.940	      10608.095
         34.950	      10624.499
         34.960	      10598.521
         34.970	      10553.265
         34.980	      10536.931
         34.990	      10552.590
         35.000	      10552.918
         35.010	      10523.841
         35.020	      10491.890
         35.030	      10492.183
         35.040	      10480.247
         35.050	      10444.849
         35.060	      10418.550
         35.070	      10403.546
         35.080	      10374.227
         35.090	      10353.998
         35.100	      10337.732
         35.110	      10257.417
         35.120	      10170.096
         35.130	      10135.978
         35.140	      10101.906
         35.150	      10068.030
         35.160	      10034.394
         35.170	      10001.058
         35.180	       9967.993
         35.190	       9957.559
         35.200	       9983.670
         35.210	      10045.567
         35.220	      10113.783
         35.230	      10134.800
         35.240	      10123.083
         35.250	      10088.433
         35.260	      10044.139
         35.270	      10029.010
         35.280	      10047.017
         35.290	      10084.616
         35.300	      10140.629
         35.310	      10215.903
         35.320	      10281.767
         35.330	      10306.360
         35.340	      10288.826
         35.350	      10281.833
         35.360	      10313.364
         35.370	      10360.145
         35.380	      10373.727
         35.390	      10343.554
         35.400	      10321.180
         35.410	      10337.731
         35.420	      10380.688
         35.430	      10423.315
         35.440	      10459.844
         35.450	      10490.693
         35.460	      10516.237
         35.470	      10536.901
         35.480	      10553.426
         35.490	      10566.130
         35.500	      10575.784
         35.510	      10583.450
         35.520	      10589.970
         35.530	      10596.296
         35.540	      10603.211
         35.550	      10611.029
         35.560	      10620.030
         35.570	      10630.360
         35.580	      10641.950
         35.590	      10654.743
         35.600	      10668.539
         35.610	      10683.192
         35.620	      10698.482
         35.630	      10714.228
         35.640	      10730.307
         35.650	      10746.827
         35.660	      10763.619
         35.670	      10780.570
         35.680	      10797.654
         35.690	      10814.978
         35.700	      10832.341
         35.710	      10849.764
         35.720	      10867.277
         35.730	      10884.887
         35.740	      10902.517
         35.750	      10920.069
         35.760	      10937.619
         35.770	      10955.293
         35.780	      10973.060
         35.790	      10990.871
         35.800	      11008.672
         35.810	      11026.347
         35.820	      11043.907
         35.830	      11061.523
         35.840	      11079.175
         35.850	      11096.848
         35.860	      11114.650
         35.870	      11132.453
         35.880	      11150.091
         35.890	      11167.782
         35.900	      11185.580
         35.910	      11203.333
         35.920	      11221.029
         35.930	      11238.742
         35.940	      11256.449
         35.950	      11274.092
         35.960	      11291.636
         35.970	      11309.231
         35.980	      11326.938
         35.990	      11344.713
         36.000	      11362.522
         36.010	      11380.282
         36.020	      11397.872
         36.030	      11415.408
         36.040	      11433.048
         36.050	      11450.763
         36.060	      11468.560
         36.070	      11486.434
         36.080	      11503.413
         36.090	      11507.128
         36.100	      11495.051
         36.110	      11474.951
         36.120	      11449.013
         36.130	      10240.668
         36.140	       9864.245
         36.150	       9868.819
         36.160	       9886.006
         36.170	       9916.424
         36.180	       9959.729
         36.190	       9998.216
         36.200	      10022.669
         36.210	      10041.708
         36.220	      10059.464
         36.230	      10076.936
         36.240	      10094.260
         36.250	      10111.514
         36.260	      10128.720
         36.270	      10145.892
         36.280	      10163.015
         36.290	      10180.058
         36.300	      10196.948
         36.310	      10213.714
         36.320	      10230.446
         36.330	      10247.190
         36.340	      10263.887
         36.350	      10280.426
         36.360	      10296.811
         36.370	      10313.075
         36.380	      10329.284
         36.390	      10345.517
         36.400	      10361.490
         36.410	      10377.029
         36.420	      10392.389
         36.430	      10407.597
         36.440	      10422.675
         36.450	      10437.612
         36.460	      10452.335
         36.470	      10466.830
         36.480	      10481.118
         36.490	      10495.197
         36.500	      10509.039
         36.510	      10522.629
         36.520	      10535.966
         36.530	      10549.147
         36.540	      10562.211
         36.550	      10575.158
         36.560	      10588.027
         36.570	      10600.858
         36.580	      10332.014
         36.590	      10252.427
         36.600	      10218.062
         36.610	      10179.911
         36.620	      10141.492
         36.630	      10102.807
         36.640	      10063.833
         36.650	      10024.563
         36.660	       9984.968
         36.670	       9945.063
         36.680	       9904.800
         36.690	       9864.183
         36.700	       9823.126
         36.710	       9846.850
         36.720	      10468.476
         36.730	      11188.182
         36.740	      11137.060
         36.750	      11131.775
         36.760	      11117.275
         36.770	      11081.522
         36.780	      11045.664
         36.790	      11009.697
         36.800	      10973.667
         36.810	      10937.569
         36.820	      10901.441
         36.830	      10865.304
         36.840	      10829.195
         36.850	      10793.149
         36.860	      10757.189
         36.870	      10721.374
         36.880	      10685.751
         36.890	      10650.348
         36.900	      10615.200
         36.910	      10580.365
         36.920	      10545.858
         36.930	      10511.696
         36.940	      10477.923
         36.950	      10444.527
         36.960	      10411.534
         36.970	      10343.919
         36.980	      10297.088
         36.990	      10267.310
         37.000	      10235.719
         37.010	      10203.675
         37.020	      10171.437
         37.030	      10138.830
         37.040	      10107.135
         37.050	      10111.569
         37.060	      10159.751
         37.070	      10223.259
         37.080	      10298.888
         37.090	      10297.553
         37.100	      10278.428
         37.110	      10233.565
         37.120	      10182.919
         37.130	      10170.347
         37.140	      10189.016
         37.150	      10226.217
         37.160	      10281.808
         37.170	      10348.948
         37.180	      10380.980
         37.190	      10366.990
         37.200	      10313.783
         37.210	      10247.022
         37.220	      10217.967
         37.230	      10232.935
         37.240	      10274.020
         37.250	      10337.346
         37.260	      10412.016
         37.270	      10469.426
         37.280	      10486.463
         37.290	      10467.998
         37.300	      10456.745
         37.310	      10487.235
         37.320	      10531.404
         37.330	      10544.567
         37.340	      10519.181
         37.350	      10499.340
         37.360	      10519.969
         37.370	      10565.701
         37.380	      10613.863
         37.390	      10656.941
         37.400	      10681.247
         37.410	      10697.133
         37.420	      10707.257
         37.430	      10682.065
         37.440	      10617.446
         37.450	      10562.318
         37.460	      10548.857
         37.470	      10262.636
         37.480	      10213.066
         37.490	      10171.780
         37.500	      10107.163
         37.510	      10066.472
         37.520	      10025.099
         37.530	       9978.402
         37.540	       9901.322
         37.550	       9857.027
         37.560	       9811.221
         37.570	       9750.374
         37.580	       9646.887
         37.590	       9823.452
         37.600	      11466.303
         37.610	      11413.221
         37.620	      11357.197
         37.630	      11300.343
         37.640	      11243.062
         37.650	      11185.339
         37.660	      11127.330
         37.670	      11069.092
         37.680	      10815.043
         37.690	      10718.875
         37.700	      10685.009
         37.710	      10639.176
         37.720	      10588.178
         37.730	      10534.156
         37.740	      10478.270
         37.750	      10421.031
         37.760	      10362.673
         37.770	      10303.623
         37.780	      10243.976
         37.790	      10183.892
         37.800	      10123.468
         37.810	      10062.705
         37.820	      10001.698
         37.830	       9940.475
         37.840	       9879.043
         37.850	       9817.426
         37.860	       9755.592
         37.870	       9693.593
         37.880	       9631.373
         37.890	       9568.968
         37.900	       9506.291
         37.910	       9443.342
         37.920	       9380.059
         37.930	       9316.424
         37.940	       9448.580
         37.950	      10104.952
         37.960	      12045.250
         37.970	      12452.659
         37.980	      12360.606
         37.990	      12266.890
         38.000	      12170.619
         38.010	      12070.055
         38.020	      11962.018
         38.030	      11915.639
         38.040	      12089.291
         38.050	      12043.775
         38.060	      11972.398
         38.070	      11901.023
         38.080	      11829.602
         38.090	      11758.197
         38.100	      11686.755
         38.110	      11615.272
         38.120	      11543.759
         38.130	      11472.206
         38.140	      11400.616
         38.150	      11328.956
         38.160	      11257.207
         38.170	      11185.436
         38.180	      11113.547
         38.190	      11041.586
         38.200	      10969.516
         38.210	      10897.347
         38.220	      10825.007
         38.230	      10752.557
         38.240	      10679.987
         38.250	      10607.158
         38.260	      10534.197
         38.270	      10461.008
         38.280	      10387.437
         38.290	      10313.451
         38.300	      10238.715
         38.310	      10163.438
         38.320	      10087.832
         38.330	      10011.395
         38.340	       9934.231
         38.350	       9856.350
         38.360	       9776.631
         38.370	       9695.738
         38.380	       9612.002
         38.390	       9523.490
         38.400	       9431.457
         38.410	       9476.225
         38.420	       9514.527
         38.430	       9458.318
         38.440	       9401.678
         38.450	       9344.951
         38.460	       9288.124
         38.470	       9231.215
         38.480	       9174.076
         38.490	       9116.762
         38.500	       9058.856
         38.510	       9000.816
         38.520	       8942.549
         38.530	       8884.035
         38.540	       8825.303
         38.550	       8766.120
         38.560	       8706.724
         38.570	       8646.633
         38.580	       8586.403
         38.590	       8524.952
         38.600	       8463.234
         38.610	       8399.827
         38.620	       8335.745
         38.630	       8268.711
         38.640	       8199.713
         38.650	       8123.916
         38.660	       8071.274
         38.670	       8088.185
         38.680	       8089.734
         38.690	       8044.142
         38.700	       7998.385
         38.710	       7952.094
         38.720	       7905.627
         38.730	       7858.460
         38.740	       7811.150
         38.750	       7762.802
         38.760	       7714.443
         38.770	       7664.436
         38.780	       7614.424
         38.790	       7562.134
         38.800	       7509.515
         38.810	       7453.202
         38.820	       7395.486
         38.830	       7327.316
         38.840	       7250.501
         38.850	       7209.802
         38.860	       7239.637
         38.870	       7260.604
         38.880	       7227.239
         38.890	       7191.767
         38.900	       7155.694
         38.910	       7119.486
         38.920	       7082.963
         38.930	       7046.170
         38.940	       7009.323
         38.950	       6972.263
         38.960	       6935.206
         38.970	       6898.334
         38.980	       6861.483
         38.990	       6825.058
         39.000	       6788.961
         39.010	       6753.071
         39.020	       6718.150
         39.030	       6683.242
         39.040	       6618.181
         39.050	       6542.720
         39.060	       6519.829
         39.070	       6626.039
         39.080	       6732.235
         39.090	       6741.189
         39.100	       6727.012
         39.110	       6713.606
         39.120	       6701.889
         39.130	       6690.263
         39.140	       6688.405
         39.150	       6688.774
         39.160	       6689.475
         39.170	       6690.842
         39.180	       6692.210
         39.190	       6710.194
         39.200	       6731.281
         39.210	       6744.389
         39.220	       6743.178
         39.230	       6741.966
         39.240	       6766.462
         39.250	       6794.502
         39.260	       6810.024
         39.270	       6807.505
         39.280	       6807.655
         39.290	       6852.647
         39.300	       6902.818
         39.310	       6926.374
         39.320	       6924.269
         39.330	       6927.670
         39.340	       6990.493
         39.350	       7053.309
         39.360	       7077.031
         39.370	       7082.448
         39.380	       7105.412
         39.390	       7168.883
         39.400	       7231.821
         39.410	       7285.222
         39.420	       7337.505
         39.430	       7369.016
         39.440	       7388.174
         39.450	       7430.897
         39.460	       7519.854
         39.470	       7608.125
         39.480	       7691.335
         39.490	       7774.061
         39.500	       7845.573
         39.510	       7914.917
         39.520	       7976.520
         39.530	       8034.498
         39.540	       8091.007
         39.550	       8146.278
         39.560	       8202.482
         39.570	       8259.850
         39.580	       8318.545
         39.590	       8379.291
         39.600	       8441.374
         39.610	       8505.759
         39.620	       8571.780
         39.630	       8640.495
         39.640	       8710.751
         39.650	       8783.120
         39.660	       8857.281
         39.670	       8933.243
         39.680	       8809.740
         39.690	       8548.281
         39.700	       8404.137
         39.710	       8313.787
         39.720	       8209.131
         39.730	       8099.590
         39.740	       8052.000
         39.750	       8023.071
         39.760	       7949.060
         39.770	       7860.423
         39.780	       7815.042
         39.790	       7787.493
         39.800	       7735.261
         39.810	       7668.273
         39.820	       7589.743
         39.830	       7500.220
         39.840	       7444.731
         39.850	       7448.334
         39.860	       7441.095
         39.870	       7388.577
         39.880	       7335.288
         39.890	       7274.451
         39.900	       7212.924
         39.910	       7187.653
         39.920	       7174.579
         39.930	       7150.333
         39.940	       7114.117
         39.950	       7077.749
         39.960	       7040.815
         39.970	       7003.865
         39.980	       6966.980
         39.990	       6930.100
         40.000	       6893.739
         40.010	       6857.853
         40.020	       6817.714
         40.030	       6753.412
         40.040	       6689.086
         40.050	       6746.372
         40.060	       6845.594
         40.070	       6909.376
         40.080	       6894.798
         40.090	       6880.189
         40.100	       6864.415
         40.110	       6848.419
         40.120	       6847.932
         40.130	       6868.218
         40.140	       6888.497
         40.150	       6878.853
         40.160	       6868.836
         40.170	       6877.205
         40.180	       6900.511
         40.190	       6918.577
         40.200	       6907.424
         40.210	       6895.356
         40.220	       6933.252
         40.230	       6992.486
         40.240	       7034.361
         40.250	       7033.605
         40.260	       7032.848
         40.270	       7080.523
         40.280	       7133.966
         40.290	       7161.111
         40.300	       7163.560
         40.310	       7173.863
         40.320	       7221.218
         40.330	       7269.142
         40.340	       7309.289
         40.350	       7347.677
         40.360	       7380.835
         40.370	       7409.080
         40.380	       7452.382
         40.390	       7544.978
         40.400	       7633.706
         40.410	       7660.201
         40.420	       7681.487
         40.430	       7737.113
         40.440	       7803.508
         40.450	       7879.690
         40.460	       7963.141
         40.470	       8041.363
         40.480	       8112.369
         40.490	       8180.303
         40.500	       8241.210
         40.510	       8301.122
         40.520	       8357.669
         40.530	       8414.247
         40.540	       8471.085
         40.550	       8528.368
         40.560	       8587.721
         40.570	       8647.631
         40.580	       8709.700
         40.590	       8772.436
         40.600	       8837.068
         40.610	       8902.790
         40.620	       8970.554
         40.630	       9039.836
         40.640	       9110.884
         40.650	       9183.887
         40.660	       9258.204
         40.670	       9334.836
         40.680	       9412.205
         40.690	       9492.656
         40.700	       9573.884
         40.710	       9657.780
         40.720	       9743.141
         40.730	       9830.526
         40.740	       9625.590
         40.750	       9287.669
         40.760	       9246.904
         40.770	       9230.038
         40.780	       9139.856
         40.790	       9025.307
         40.800	       8875.920
         40.810	       8853.679
         40.820	       8910.390
         40.830	       8862.218
         40.840	       8786.321
         40.850	       8683.747
         40.860	       8592.837
         40.870	       8622.793
         40.880	       8633.818
         40.890	       8580.840
         40.900	       8526.641
         40.910	       8470.023
         40.920	       8410.828
         40.930	       8347.993
         40.940	       8315.843
         40.950	       8317.435
         40.960	       8299.057
         40.970	       8262.155
         40.980	       8225.158
         40.990	       8188.052
         41.000	       8151.109
         41.010	       8114.285
         41.020	       8061.766
         41.030	       7996.105
         41.040	       7943.837
         41.050	       7904.141
         41.060	       7944.145
         41.070	       8075.912
         41.080	       8147.683
         41.090	       8128.196
         41.100	       8112.485
         41.110	       8104.670
         41.120	       8100.031
         41.130	       8104.888
         41.140	       8105.182
         41.150	       8084.426
         41.160	       8070.465
         41.170	       8113.459
         41.180	       8150.790
         41.190	       8134.922
         41.200	       8118.157
         41.210	       8138.969
         41.220	       8163.572
         41.230	       8185.099
         41.240	       8206.314
         41.250	       8184.758
         41.260	       8155.900
         41.270	       8189.652
         41.280	       8238.833
         41.290	       8304.314
         41.300	       8374.862
         41.310	       8398.413
         41.320	       8404.629
         41.330	       8448.906
         41.340	       8508.582
         41.350	       8525.866
         41.360	       8525.714
         41.370	       8547.286
         41.380	       8577.279
         41.390	       8656.491
         41.400	       8752.118
         41.410	       8844.227
         41.420	       8935.430
         41.430	       9010.569
         41.440	       9082.710
         41.450	       9147.540
         41.460	       9211.170
         41.470	       9270.488
